dataset,status,num_instances,median_input_words,mean_input_words,median_answer_words,mean_answer_words,input_lexical_diversity,answer_entropy,normalized_answer_entropy,dominant_label_share,free_text_answer_share
game24,loaded,1362,4.0,4.0,1.0,1.0,0.0023861967694566812,-0.0,0.0,1.0,0.0
hle,loaded,200,89.0,159.69,1.0,2.54,0.17120671300645,5.866468970885931,0.8702065860026821,0.13,0.13
hotpotqa,loaded,7405,15.0,15.98555030384875,2.0,2.553139770425388,0.14064862764312808,11.547045880091654,0.9236279203856785,0.06603646185010129,0.06603646185010129
humaneval,loaded,164,59.5,67.85365853658537,65.0,76.54268292682927,0.1191588785046729,-0.0,0.0,1.0,1.0
logiqa,loaded,651,150.0,153.88018433179724,1.0,1.0,0.07437909279667784,1.9890889354115797,0.9945444677057899,0.2780337941628264,0.0
matharena,loaded,15,50.0,62.06666666666667,55.0,68.73333333333333,0.32545649838882923,-0.0,0.0,1.0,1.0
mimic_rrs,loaded,13044,144.0,162.5913830113462,43.0,49.96803127874885,0.005006030623686253,0.272259453207129,0.039350315777360936,0.978457528365532,0.978457528365532
mtsamples_procedures,loaded,131,113.0,169.05343511450383,128.0,214.76335877862596,0.1393931183960986,0.06466104967715193,0.06466104967715193,0.9923664122137404,0.9923664122137404
pubmed_qa,loaded,1000,231.0,231.1,1.0,1.0,0.05983989614885331,1.3524319665694469,0.8532895673898228,0.552,0.0
scibench,loaded,109,52.0,57.48623853211009,2.0,2.0,0.16948611554420684,6.603046710098019,0.993857561254936,0.01834862385321101,0.0
sonnetwriting,loaded,250,22.0,22.0,7.0,7.0,0.13490909090909092,0.037622360322278434,0.037622360322278434,0.996,0.996
